stand,plot,tree,dbh.2014,rad.inc,species,exp
110,2,2,37.2,10,psme,50
110,2,3,42.8,13,psme,50
110,2,4,41.1,13,psme,50
110,2,5,38.1,7,psme,50
110,2,6,43.3,12,psme,50
110,2,7,31.2,2,psme,50
110,2,8,33,8,psme,50
110,2,9,24.2,5,psme,50
110,3,1,40.1,11,psme,50
110,3,2,27.7,7,psme,50
110,3,3,25.2,8,psme,50
110,3,4,30.5,10,psme,50
110,3,5,12.3,7,acma,50
110,3,6,46.9,16,psme,50
110,3,7,35.9,8,psme,50
110,3,8,44.4,13,psme,50
110,3,9,27.7,3,psme,50
110,3,10,9.1,5,acma,50
110,4,1,45.1,13,psme,50
110,4,2,48.7,11,psme,50
110,4,3,25.5,4,psme,50
110,4,4,49.6,14,psme,50
110,4,5,42.8,17,psme,50
110,4,6,44.4,14,psme,50
110,4,7,24.8,6,psme,50
110,4,8,34.9,9,psme,50
110,4,9,41,10,psme,50
110,4,10,27.3,5,psme,50
110,4,11,32.4,8,psme,50
110,5,1,36.4,4,psme,50
110,5,2,44.5,1,psme,50
110,5,3,35,3,psme,50
110,5,4,37.1,11,psme,50
110,5,5,36.5,9,psme,50
110,5,6,41.9,14,psme,50
110,5,7,28,6,psme,50
110,5,8,20,8,psme,50
110,5,9,27.2,5,psme,50
110,6,1,22.1,3,psme,50
110,6,2,41.8,9,psme,50
110,6,3,27.9,6,psme,50
110,6,4,34.6,11,psme,50
110,6,5,39.5,5,psme,50
110,6,6,29.3,4,psme,50
110,6,7,27.8,2,psme,50
110,6,8,28.2,2,psme,50
110,6,9,36.1,7,psme,50
110,6,10,33.4,6,psme,50
110,6,11,38.2,6,psme,50
110,6,12,32.6,11,psme,50
110,6,13,37,7,psme,50
110,6,14,44.4,17,psme,50
110,7,1,41.1,9,psme,50
110,7,2,41.1,14,psme,50
110,7,3,34.1,5,psme,50
110,7,5,38.4,6,psme,50
110,7,6,25.8,6,psme,50
110,7,7,46,12,psme,50
110,7,8,36,7,psme,50
110,7,9,30.9,8,psme,50
110,7,10,24.9,2,psme,50
110,7,11,21.2,3,psme,50
110,7,12,24,4,psme,50
110,8,1,51.3,11,psme,50
110,8,2,42.4,9,psme,50
110,8,3,43.9,11,psme,50
110,8,4,47.7,7,psme,50
110,8,5,39.2,17,psme,50
110,8,6,48.1,9,psme,50
110,8,7,30.7,8,psme,50
110,8,8,30.9,4,psme,50
110,9,1,41.7,12,psme,50
110,9,2,32,5,psme,50
110,9,3,26.7,8,psme,50
110,9,4,35.8,12,psme,50
110,9,5,47.4,23,psme,50
110,9,6,28.7,7,psme,50
110,9,7,27.4,7,psme,50
110,9,8,27.6,3,psme,50
110,9,9,24.6,4,psme,50
110,9,10,39,12,psme,50
110,9,11,35.9,14,psme,50
110,9,12,28.2,5,psme,50
110,9,13,39.1,10,psme,50
110,9,14,20.2,5,psme,50
110,10,1,39.1,12,psme,50
110,10,2,22.3,4,psme,50
110,10,3,39.7,13,psme,50
110,10,4,40.2,8,psme,50
110,10,5,41.1,17,psme,50
110,10,6,26.8,3,psme,50
110,10,7,20,4,psme,50
110,10,8,21.2,2,psme,50
110,10,9,34.4,15,psme,50
110,10,10,27.4,3,psme,50
110,11,1,34.8,13,psme,50
110,11,2,26.9,4,psme,50
110,11,3,42.2,10,psme,50
110,11,4,24.9,8,psme,50
110,11,5,35,12,psme,50
110,11,6,36.5,14,psme,50
110,11,7,35.8,9,psme,50
110,11,8,37.7,8,psme,50
110,11,9,33,7,psme,50
110,11,10,37.3,8,psme,50
110,11,11,43.6,7,psme,50
110,11,12,27.3,1,psme,50
110,12,1,29.2,3,psme,50
110,12,2,43.4,12,psme,50
110,12,3,43.6,19,psme,50
110,12,4,34.6,10,psme,50
110,12,5,36.1,11,psme,50
110,12,6,25.8,4,psme,50
110,12,7,31,7,psme,50
110,12,8,34.7,8,psme,50
110,12,9,50.8,12,psme,50
110,12,10,34.1,8,psme,50
110,12,11,42.8,14,psme,50
110,12,12,22.7,2,psme,50
110,13,1,43.8,12,psme,50
110,13,2,30,8,psme,50
110,13,3,35.5,7,psme,50
110,13,4,42.8,12,psme,50
110,13,5,32.5,12,psme,50
110,13,6,43.2,4,psme,50
110,13,7,37.7,8,psme,50
110,13,8,36.2,7,psme,50
110,14,1,46.1,15,psme,50
110,14,2,45.6,5,psme,50
110,14,3,22.6,1,psme,50
110,14,4,36.1,6,psme,50
110,14,5,34.7,8,psme,50
110,14,6,28.9,3,psme,50
110,14,7,48.9,2,psme,50
110,14,8,36.1,16,psme,50
110,14,9,27.4,13,psme,50
110,14,10,32.4,7,psme,50
110,15,1,19.1,2,psme,50
110,15,2,25.5,5,psme,50
110,15,3,35.3,15,psme,50
110,15,4,35,6,psme,50
110,15,5,30.9,7,psme,50
110,15,6,45.9,23,psme,50
110,15,7,20.3,2,psme,50
110,15,8,35.6,10,psme,50
110,15,9,36.2,8,psme,50
110,15,10,35.3,17,psme,50
110,15,11,20.3,3,psme,50
